;;;(oC);(%);(m/s);(oC);;(%);;(m/s);;(oC);;(%);;(mm);(MJ/m2.d);;;;
ANO;MES;DIA;TMED;URMED;VentoMED;TMAX;TMAX_hora;URMAX;URMAX_hora;VentoMAX;VentoMAX_hora;TMIN;TMIN_hora;URMIN;URMIN_hora;Chuva;Rad.Glob.;Estiagem;Semestre;ElNino;Estacao
1902;11;2;;;;;;;;;;;;;;29;;0;2;;Primavera
1902;11;3;;;;;;;;;;;;;;0;;1;2;;Primavera
1902;11;4;;;;;;;;;;;;;;10;;0;2;;Primavera
1902;11;5;;;;;;;;;;;;;;16;;0;2;;Primavera
1902;11;6;;;;;;;;;;;;;;0;;4;2;;Primavera
1902;11;7;;;;;;;;;;;;;;0;;4;2;;Primavera
1902;11;8;;;;;;;;;;;;;;0;;4;2;;Primavera
1902;11;9;;;;;;;;;;;;;;0;;4;2;;Primavera
1902;11;10;;;;;;;;;;;;;;2,8;;0;2;;Primavera
1902;11;11;;;;;;;;;;;;;;0;;1;2;;Primavera
1902;11;12;;;;;;;;;;;;;;16;;0;2;;Primavera
1902;11;13;;;;;;;;;;;;;;2,2;;0;2;;Primavera
1902;11;14;;;;;;;;;;;;;;0;;2;2;;Primavera
1902;11;15;;;;;;;;;;;;;;0;;2;2;;Primavera
1902;11;16;;;;;;;;;;;;;;45,4;;0;2;;Primavera
1902;11;17;;;;;;;;;;;;;;23,8;;0;2;;Primavera
1902;11;18;;;;;;;;;;;;;;0;;2;2;;Primavera
1902;11;19;;;;;;;;;;;;;;0;;2;2;;Primavera
1902;11;20;;;;;;;;;;;;;;24,2;;0;2;;Primavera
1902;11;21;;;;;;;;;;;;;;4,4;;0;2;;Primavera
1902;11;22;;;;;;;;;;;;;;0;;3;2;;Primavera
1902;11;23;;;;;;;;;;;;;;0;;3;2;;Primavera
1902;11;24;;;;;;;;;;;;;;0;;3;2;;Primavera
1902;11;25;;;;;;;;;;;;;;14;;0;2;;Primavera
1902;11;26;;;;;;;;;;;;;;16,2;;0;2;;Primavera
1902;11;27;;;;;;;;;;;;;;16,5;;0;2;;Primavera
1902;11;28;;;;;;;;;;;;;;0;;5;2;;Primavera
