date,plot,species,si.offset.e,si.offset.n,tree.easting,tree.northing,sensor.est.e,sensor.est.n,dbh,height,cbh,rad.in,rad.out,distance,bearing,east.center,north.center,tag
2013-09-20,PLT0010,piceab,390.8150024,158.7709961,731983.715,4713380.671,731983.4053,4713376.242,20.4,15.1,9.9,3.41,2.34,4.44,4,-0.309718743,-4.429184383,200493
2013-09-20,PLT0011,acerru,416.4559937,195.9340057,732009.356,4713417.834,732007.6151,4713422.617,45.5,24.4,13.4,2.99,7.67,5.09,160,-1.74088253,4.78303544,210614
2013-09-20,PLT0011,tsugca,414.928009,196.6089935,732007.828,4713418.509,732007.828,4713421.369,25.5,13.8,1.9,4.34,3.31,2.86,180,-7.01E-16,2.86,210612
2013-09-20,PLT0011,querru,411.8970032,193.0980072,732004.797,4713414.998,732007.0868,4713422.045,44.4,27.8,14.2,2.63,4.8,7.41,198,2.289815928,7.047328786,210608
2013-09-20,PLT0011,querru,414.1239929,198.6300049,732007.024,4713420.53,732008.0732,4713422.209,29.4,20.3,9.5,3.07,3.73,1.98,212,1.049240143,1.67913523,210611
2013-09-20,PLT0011,querru,409.3139954,199.5970001,732002.214,4713421.497,732008.1359,4713421.807,38.6,27.5,10.7,2.91,2.31,5.93,267,5.921873141,0.310352221,210598
2013-09-20,PLT0011,quervu,411.1300049,203.9420013,732004.03,4713425.842,732006.8316,4713421.689,40.5,22.6,17.3,3.86,6.97,5.01,326,2.801556446,-4.153478239,210680
2013-09-20,PLT0011,querru,416.5209961,205.0149994,732009.421,4713426.915,732007.7177,4713422.235,47.4,25,14.2,9.44,0.73,4.98,20,-1.703260314,-4.679669252,210684
2013-09-20,PLT0045,betupa,400.2179871,119.586998,731993.118,4713341.487,731994.4358,4713338.527,23,24.3,11.3,3.35,0.72,3.24,336,1.317826724,-2.959887283,210309
2013-09-20,PLT0045,betual,401.2099915,121.0139999,731994.11,4713342.914,731994.4204,4713338.475,27.1,18.1,2.6,2.02,1.18,4.45,356,0.310416308,-4.439160024,210371
2013-09-20,PLT0045,quervu,407.4500122,117.8010025,732000.35,4713339.701,731994.1498,4713338.155,38,24.7,12.3,3.33,3.12,6.39,76,-6.200189691,-1.545880913,210313
2013-09-20,PLT0045,betule,404.3710022,110.6230011,731997.271,4713332.523,731994.196,4713338.306,36.5,24.6,9.2,5,3.46,6.55,152,-3.075038736,5.783306733,210323
2013-09-20,PLT0045,pinust,400.7860107,112.5390015,731993.686,4713334.439,731994.6838,4713337.919,33.8,24.2,19,0.79,1.67,3.62,196,0.997807228,3.479767339,210308
2013-09-20,PLT0045,piceab,398.118988,106.7200012,731991.019,4713328.62,731994.4242,4713337.048,49.5,30,13.5,2.76,3.59,9.09,202,3.405173934,8.428101238,200382
2013-09-20,PLT0045,querru,391.9219971,109.4410019,731984.822,4713331.341,731993.9073,4713337.942,46.3,27.6,12.8,2.28,5.93,11.23,234,9.085260847,6.600828383,200379
2013-09-20,PLT0045,querru,394.8460083,118.8249969,731987.746,4713340.725,731993.4643,4713339.193,36.6,27.6,15.8,5.26,3.88,5.92,285,5.718280892,-1.532208747,200364
2013-09-20,PLT0045,querru,394.9389954,118.651001,731987.839,4713340.551,731993.2563,4713338.139,33.6,27.9,11.2,2.67,2.77,5.93,294,5.417324564,-2.411948293,200365
2013-09-20,PLT0045,piceab,397.8590088,119.7360001,731990.759,4713341.636,731990.759,4713341.636,18.1,1.3,1.3,NA,NA,NA,320,NA,NA,200368
2013-09-20,PLT0042,acerru,466.006012,102.5559998,732058.906,4713324.456,732062.9879,4713321.267,30.1,27.7,7.2,4.2,4.85,5.18,308,4.081895704,-3.189126442,240495
2013-09-20,PLT0042,acerru,465.993988,102.1900024,732058.894,4713324.09,732063.6361,4713320.891,31.3,28.8,5.5,4.47,3.74,5.72,304,4.742094915,-3.198583408,240494
2013-09-20,PLT0042,querru,469.4840088,107.8399963,732062.384,4713329.74,732064.2473,4713323.242,46.6,27.3,13.5,6.18,9.01,6.76,344,1.863308525,-6.498129065,240489
2013-09-20,PLT0042,acerru,473.5140076,102.5240021,732066.414,4713324.424,732064.3454,4713321.776,23.3,23.2,7.9,3.25,0.54,3.36,38,-2.068622557,-2.647716132,240550
